Soil,Nitrogen,Phosphorous,Potassium,PH,Rainfall,Temperature,Crop,Fertilizer
Alkaline,75,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,80,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,85,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,90,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,95,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,100,50,100,6.5,1000,20,sugarcane,Urea
Alkaline,75,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,80,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,85,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,90,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,95,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,100,55,105,7.0,1100,25,sugarcane,Urea
Alkaline,75,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,80,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,85,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,90,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,95,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,100,60,110,7.5,1200,30,sugarcane,Urea
Alkaline,75,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,80,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,85,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,90,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,95,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,100,50,115,6.5,1300,35,sugarcane,Urea
Alkaline,75,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,80,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,85,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,90,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,95,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,100,55,100,7.0,1400,20,sugarcane,DAP
Alkaline,75,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,80,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,85,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,90,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,95,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,100,60,105,7.5,1500,25,sugarcane,DAP
Alkaline,75,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,80,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,85,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,90,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,95,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,100,50,110,6.5,1000,30,sugarcane,DAP
Alkaline,75,55,115,7.0,1100,35,sugarcane,DAP
Alkaline,80,55,115,7.0,1100,35,sugarcane,DAP
